user_id,rank,product_id,score,product_name,category,brand,price
1,1,3494,0.03510971,Patagonia Backpack Premium,Sports & Outdoors,Patagonia,56.55
1,2,7222,0.033124868,Zara T-Shirt Premium,Clothing,Zara,772.77
1,3,6324,0.033043846,Zara Tracksuit Classic,Clothing,Zara,885.15
1,4,5494,0.03248256,MAC Lipstick Classic,Beauty & Health,MAC,553.65
1,5,8993,0.03247864,Fisher-Price Dollhouse Classic,Toys & Games,Fisher-Price,627.64
1,6,8919,0.032184385,Garnier Shampoo Premium,Beauty & Health,Garnier,913.69
1,7,2805,0.032089073,Castrol Motor Oil Deluxe,Automotive,Castrol,553.0
1,8,4744,0.032077797,Reebok Jacket Deluxe,Clothing,Reebok,89.64
1,9,5649,0.032013535,The Pragmatic Programmer by Penguin,Books,Penguin,998.57
1,10,3184,0.031846303,HP Gaming Console Classic,Electronics,HP,345.91
2,1,3494,0.03318755,Patagonia Backpack Premium,Sports & Outdoors,Patagonia,56.55
2,2,7222,0.031090887,Zara T-Shirt Premium,Clothing,Zara,772.77
2,3,1673,0.029856093,L'Oréal Conditioner Limited Edition,Beauty & Health,L'Oréal,581.47
2,4,9116,0.029489568,Olay Foundation Classic,Beauty & Health,Olay,374.92
2,5,7340,0.029306063,Mattel Board Game Limited Edition,Toys & Games,Mattel,202.24
2,6,4418,0.029189376,The Art of Machine Learning by Penguin,Books,Penguin,552.39
2,7,2724,0.028960936,Xbox Action Figure Limited Edition,Toys & Games,Xbox,455.75
2,8,4406,0.028925082,Intel Monitor Deluxe,Electronics,Intel,684.06
2,9,3406,0.028871194,The Art of Machine Learning by Springer,Books,Springer,348.0
2,10,8993,0.028789872,Fisher-Price Dollhouse Classic,Toys & Games,Fisher-Price,627.64
3,1,7739,0.031000242,Yonex Hiking Boots Deluxe,Sports & Outdoors,Yonex,466.02
3,2,4893,0.030630825,Burberry Tracksuit Limited Edition,Clothing,Burberry,278.86
3,3,7340,0.030599598,Mattel Board Game Limited Edition,Toys & Games,Mattel,202.24
3,4,9116,0.030481903,Olay Foundation Classic,Beauty & Health,Olay,374.92
3,5,4108,0.029905908,Bosch Blender Limited Edition,Home & Kitchen,Bosch,537.23
3,6,1516,0.029730445,Philips Microwave Classic,Home & Kitchen,Philips,57.53
3,7,8993,0.02968613,Fisher-Price Dollhouse Classic,Toys & Games,Fisher-Price,627.64
